Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2025-03-31,216.48010744476517,225.06908447075043,215.7020132379398,221.58761596679688,,65299300,152.78821916221315,155.2131048785596,150.34337121509955,154.31500244140625,,54603500,371.2470435423123,375.761320171641,365.96541986866765,374.087158203125,,35184700
2025-04-01,219.27326790744206,223.13381331282267,218.36548628233527,222.64501953125,,36412700,153.29713724683472,157.7677327478603,153.29713724683472,156.73989868164062,,30672900,373.34968615477356,381.52123836039385,371.93463161723514,380.863525390625,,19689500
2025-04-02,220.77959080525144,224.6401362151353,220.4803202973195,223.3433074951172,,35905900,154.8239184605045,158.07707673307476,154.37486726125917,156.70994567871094,,25041700,376.6581801475031,383.74348886180815,375.3128595122782,380.813720703125,,16092600
2025-04-03,205.03811566571247,206.9833664271943,200.75859747782033,202.69386291503906,,103419000,150.79242377501242,152.4589122309581,150.07393572821033,150.4032440185547,,46883400,373.4892252977989,376.16989155085776,368.06810346654436,371.8150329589844,,30198000
2025-04-04,193.4165691841804,199.39194860307396,186.88255957870848,187.92002868652344,,125910900,147.6989298070746,150.75251155896433,145.0744674917677,145.29400634765625,,62259500,362.86621412703136,373.28990195338014,358.2323590249941,358.5910949707031,,49209900
2025-04-07,176.76731422169505,193.6759230716255,174.19361217758157,181.0169219970703,,160466300,141.25250603263527,152.52875975799608,140.2346455130815,146.4415740966797,,76794100,349.66222551139305,369.7123913004176,343.5933653790687,356.61798095703125,,50425000
2025-04-08,186.244123618335,189.87523506652792,168.79683943762106,171.99899291992188,,120859500,150.9021908364876,151.92005142460044,142.72940085243894,144.39588928222656,,52200200,366.98190125867967,372.35317854006513,349.0343982710952,353.3294372558594,,35868900
2025-04-09,171.53013119082922,200.1201531468693,171.47028013366514,198.3644561767578,,184395900,144.11647401855745,159.21468052208976,143.6075513553121,158.37644958496094,,70406200,352.3129939705509,391.8652461990382,351.8745186247924,389.1347351074219,,50199700
2025-04-10,188.6083530498886,194.30440235729913,182.55316692796467,189.95504760742188,,121880000,156.21099272991097,157.38852063839548,149.6148843769422,152.4988250732422,,48022000,380.7339860356081,382.56759631800514,366.5234683324548,380.0264587402344,,38024400
2025-04-11,185.64558871717136,199.05275825525484,185.60567786476867,197.66615295410156,,87435900,152.5786587351614,157.33863834997953,152.4988402629555,156.80975341796875,,33636200,379.3189154840166,388.6962291414208,377.57498926356885,387.101806640625,,23839200
2025-04-14,210.9237150406947,212.42005238891582,200.66881763194172,202.02549743652344,,101352900,159.66374069863323,161.3801271292812,157.22886621670372,158.73570251464844,,30333000,391.8552468593249,393.28027643878613,382.8765082652718,386.4640197753906,,19251200
2025-04-15,201.36710824854455,203.01307326666696,199.31214069618733,201.64642333984375,,51343900,158.79557178865275,159.3144679755199,154.8838120227522,155.9814910888672,,27551500,387.16161616456134,390.5298901348079,382.82670753665025,384.3912658691406,,17199900
2025-04-16,197.8756484915953,200.2099310657198,191.9002692932641,193.79563903808594,,59732400,152.77823911437727,155.56236873164264,151.1915692108639,153.00775146484375,,28187400,379.34883521582236,380.2855448116978,366.72279516422714,370.32025146484375,,21967800
2025-04-17,196.71848747425943,198.34451232255947,193.9452767059697,196.4990234375,,52164700,153.96572710201332,154.3549068428226,148.1879024535801,150.84231567382812,,33046600,372.45282110026085,373.02085009277744,365.61664478749583,366.5035400390625,,21120200
2025-04-21,192.79807124065385,193.32677585155812,189.3465132845993,192.68833923339844,,46742500,148.5671133790027,148.63695834662283,145.7929571438361,147.35964965820312,,26049100,361.5607667541322,363.21500903617533,354.43558836453434,357.87359619140625,,20807300
2025-04-22,195.64111763020085,201.097762433896,195.49148998245192,199.25228881835938,,52976400,148.57707765672205,151.8701451004615,148.22780716014373,151.1516571044922,,26971800,362.1188421014038,366.4935901583944,358.611039306251,365.5469055175781,,19485000
2025-04-23,205.49700887470834,207.4921254657249,202.30482537338813,204.10043334960938,,52929200,155.28296188170384,157.19892487451833,153.48674181759014,155.0235137939453,,31128800,374.75482418771264,379.069813295219,371.7253664544321,373.09063720703125,,20545500
2025-04-24,204.38970763388747,208.32008954356945,202.44447210591895,207.8612060546875,,47311000,155.82180972917425,159.2545822353842,155.4625657406937,158.9452362060547,,45894000,374.3960646492269,387.10181303671203,373.8878249819962,385.9557800292969,,22232300
2025-04-25,205.86608387594285,209.2378355121778,205.69650080604464,208.76898193359375,,38222300,164.72309348828867,165.75092760525033,160.70154899383132,161.61962890625,,56034000,385.65684745985266,390.79894240871675,383.2651831703409,390.4900207519531,,18973200
2025-04-28,209.48723454234343,210.98357193193158,206.95344326011445,209.62689208984375,,38743100,162.08862808839123,162.80711614692783,158.26669065633925,160.2724609375,,29745800,390.59964052478745,391.37693221129894,385.2981274275963,389.80242919921875,,16579400
2025-04-29,208.18042396697467,211.72175863443914,207.86119803545407,210.69427490234375,,36827600,159.98307743122987,160.4021929284458,157.1889588897359,159.8234100341797,,26809000,389.9419132819562,393.7287429695286,389.02512333213684,392.67242431640625,,14974000
2025-04-30,208.78894157113288,213.0584895980106,206.16535854293033,211.9811248779297,,52286500,157.6479788523033,158.93527626532435,155.07339925298186,158.4662628173828,,34981100,388.94537633492024,395.2833185411371,383.10572919383554,393.88818359375,,36461100
2025-05-01,208.56948083895412,214.0360957896086,208.3899124386699,212.79913330078125,,57365700,160.11277889105028,161.60962633825872,158.57602221167295,160.96099853515625,,30203200,429.6137271918364,435.47332427713997,423.4252888222868,423.9235534667969,,58938100
2025-05-02,205.58677037884885,206.48458191182934,201.66637387157866,204.8485870361328,,101010600,163.0665800855699,164.62329914267073,161.5298080330937,163.68527221679688,,25715000,430.2415647531947,437.91485278651635,428.49763841940904,433.769287109375,,30757400
